course	group	id
Бакалавриат, 1 курс	ПМИ, 1 группа	1
Бакалавриат, 1 курс	ПМИ, 2 группа	173
Бакалавриат, 1 курс	ПМИ, 3 группа	14
Бакалавриат, 1 курс	ПМИ, 4 группа	19
Бакалавриат, 1 курс	ПМИ, 5 группа	75
Бакалавриат, 1 курс	ПМИ, 6 группа	99
Бакалавриат, 1 курс	МТ-1, МХ-1, 1 группа	25
Бакалавриат, 1 курс	TCS&IT (ФИИТ), 1 группа	139
Бакалавриат, 1 курс	ФИиИТ, 1 группа	46
Бакалавриат, 1 курс	ФИиИТ, 2 группа	51
Бакалавриат, 1 курс	ФИиИТ, 3 группа	97
Бакалавриат, 1 курс	ФИиИТ, 4 группа	98
Бакалавриат, 1 курс	ФИиИТ, 5 группа	133
Бакалавриат, 1 курс	ПедМ, 1 группа	156
Бакалавриат, 1 курс	ПедМИ, 1 группа	157
Бакалавриат, 2 курс	ПМИ, 1 группа	2
Бакалавриат, 2 курс	ПМИ, 2 группа	8
Бакалавриат, 2 курс	ПМИ, 3 группа	15
Бакалавриат, 2 курс	ПМИ, 4 группа	20
Бакалавриат, 2 курс	ПМИ, 5 группа	84
Бакалавриат, 2 курс	ПМИ, 6 группа	108
Бакалавриат, 2 курс	МТ-1, МХ-1, 1 группа	40
Бакалавриат, 2 курс	ФИиИТ, 1 группа	103
Бакалавриат, 2 курс	ФИиИТ, 2 группа	104
Бакалавриат, 2 курс	ФИиИТ, 3 группа	47
Бакалавриат, 2 курс	ФИиИТ, 4 группа	116
Бакалавриат, 2 курс	ФИиИТ, 5 группа	52
Бакалавриат, 2 курс	TCS&IT (ФИИТ), 1 группа	100
Бакалавриат, 2 курс	ПедМ, 1 группа	159
Бакалавриат, 2 курс	ПедМ, 2 группа	160
Бакалавриат, 2 курс	ПедМИ, 1 группа	162
Бакалавриат, 2 курс	ПедМИ, 2 группа	161
Бакалавриат, 3 курс	ПМИ, 1 группа	3
Бакалавриат, 3 курс	ПМИ, 2 группа	9
Бакалавриат, 3 курс	ПМИ, 3 группа	16
Бакалавриат, 3 курс	ПМИ, 4 группа	21
Бакалавриат, 3 курс	ПМИ, 5 группа	105
Бакалавриат, 3 курс	ПМИ, 6 группа	117
Бакалавриат, 3 курс	Математика, 1 группа	143
Бакалавриат, 3 курс	Механика и мат.моделир-е, 1 группа	109
Бакалавриат, 3 курс	TCS&IT(ФИИТ), 1 группа	118
Бакалавриат, 3 курс	ФИИТ, 1 группа	27
Бакалавриат, 3 курс	ФИИТ, 2 группа	135
Бакалавриат, 3 курс	ФИИТ, 3 группа	53
Бакалавриат, 3 курс	ФИИТ, 4 группа	48
Бакалавриат, 3 курс	ФИИТ, 5 группа	174
Бакалавриат, 3 курс	ПедМ, 1 группа	163
Бакалавриат, 3 курс	ПедМ, 2 группа	175
Бакалавриат, 3 курс	ПедМИ, 1 группа	164
Бакалавриат, 3 курс	ПедМИ, 2 группа	176
Бакалавриат, 4 курс	ПМИ, 1 группа	4
Бакалавриат, 4 курс	ПМИ, 2 группа	10
Бакалавриат, 4 курс	ПМИ, 3 группа	177
Бакалавриат, 4 курс	ПМИ, 4 группа	178
Бакалавриат, 4 курс	ПМИ, 5 группа	17
Бакалавриат, 4 курс	ПМИ (БИОИНФ), 6 группа	22
Бакалавриат, 4 курс	Математика, 1 группа	122
Бакалавриат, 4 курс	Механика и математическое моделирование, 1 группа	137
Бакалавриат, 4 курс	TCS&IT (ФИИТ), 1 группа	148
Бакалавриат, 4 курс	ФИИТ, 1 группа	144
Бакалавриат, 4 курс	ФИИТ, 2 группа	145
Бакалавриат, 4 курс	ФИИТ, 3 группа	146
Бакалавриат, 4 курс	ФИИТ, 4 группа	147
Бакалавриат, 4 курс	ПедМ, 1 группа	165
Бакалавриат, 4 курс	ПедМИ, 1 группа	166
Бакалавриат, 5 курс	ПедМИ, 1 группа	132
Бакалавриат, 5 курс	ПедМИ, 2 группа	167
Магистратура, 1 курс	ПМИ-МИТОУ, 1 группа	168
Магистратура, 1 курс	ПМИ-ИИ, 2 группа	69
Магистратура, 1 курс	ПМИ-ФМММ, 3 группа	68
Магистратура, 1 курс	ФИИТ-МИ, 1 группа	153
Магистратура, 1 курс	ФИИТ-МИ, 2 группа	154
Магистратура, 1 курс	Пед-МИ, 1 группа	7
Магистратура, 1 курс	Пед-РО, 1 группа	180
Магистратура, 1 курс	ПМИ EN, 1 группа	181
Магистратура, 2 курс	ПМИ-ИИ, 1 группа	149
Магистратура, 2 курс	ПМИ-ИИ, 2 группа	179
Магистратура, 2 курс	ПМИ-ФМММ, 3 группа	150
Магистратура, 2 курс	ФИИТ-МИ, 1 группа	56
Магистратура, 2 курс	ФИИТ-МИ, 2 группа	11
Магистратура, 2 курс	Пед-МИ, 1 группа	158
Магистратура, 2 курс	ПМИ-EN, 1 группа	182
Аспирантура, 1 курс	Математика и механика, 1 группа	12
Аспирантура, 1 курс	Информатика и вычислительная техника, 2 группа	74
Аспирантура, 2 курс	Математика и механика, 1 группа	72
Аспирантура, 2 курс	Информатика и вычислительная техника, 2 группа	73
